时间戳,任务ID,品种代码,周期,服务器IP,服务器Port,所属券商/机构,任务状态,错误信息,数据条数,耗时(秒),Worker ID,Connection ID,Phase
2025-10-25 20:25:54.108,600009_5m_1761395154108,600009,5m,117.175.57.163,7709,申万宏源,success,,5,0.326,1,16,Phase1
2025-10-25 20:25:54.115,600000_1d_1761395154115,600000,1d,120.136.184.203,7709,东北,success,,16,0.334,1,0,Phase1
2025-10-25 20:25:54.120,600016_1d_1761395154120,600016,1d,114.141.177.118,7709,银河,success,,16,0.338,1,30,Phase1
2025-10-25 20:25:54.134,600015_1m_1761395154134,600015,1m,139.159.214.78,7709,国泰,success,,800,0.352,1,29,Phase1
2025-10-25 20:25:54.138,600008_5m_1761395154138,600008,5m,103.221.142.67,7709,国泰,success,,5,0.356,1,13,Phase1
2025-10-25 20:25:54.142,600012_1m_1761395154142,600012,1m,111.15.15.43,7709,中信,success,,800,0.360,1,26,Phase1
2025-10-25 20:25:54.145,600009_1d_1761395154146,600009,1d,116.128.210.179,7709,国盛,success,,16,0.363,1,15,Phase1
2025-10-25 20:25:54.148,600012_1d_1761395154148,600012,1d,110.53.177.135,7709,方正,success,,16,0.366,1,24,Phase1
2025-10-25 20:25:54.154,600011_1m_1761395154154,600011,1m,120.237.21.11,7709,国投,success,,800,0.372,1,23,Phase1
2025-10-25 20:25:54.157,600004_1m_1761395154157,600004,1m,123.206.1.187,7709,第一创业,success,,800,0.375,1,5,Phase1
2025-10-25 20:25:54.162,600006_1d_1761395154162,600006,1d,140.143.99.36,7709,红塔,success,,16,0.380,1,6,Phase1
2025-10-25 20:25:54.164,600007_1d_1761395154164,600007,1d,221.131.139.228,7709,南京,success,,16,0.382,1,9,Phase1
2025-10-25 20:25:54.167,600018_1d_1761395154167,600018,1d,111.50.79.180,7709,南京,success,,16,0.385,1,36,Phase1
2025-10-25 20:25:54.179,600012_5m_1761395154179,600012,5m,111.230.189.225,7709,招商,success,,5,0.397,1,25,Phase1
2025-10-25 20:25:54.190,600004_1d_1761395154190,600004,1d,218.108.42.89,7709,财通,success,,16,0.408,1,3,Phase1
2025-10-25 20:25:54.202,600011_5m_1761395154202,600011,5m,116.239.25.226,7709,太平洋,success,,5,0.420,1,22,Phase1
2025-10-25 20:25:54.206,600010_1m_1761395154206,600010,1m,221.131.136.194,7709,中信,success,,800,0.424,1,20,Phase1
2025-10-25 20:25:54.210,600015_5m_1761395154210,600015,5m,221.179.18.108,7709,长城,success,,5,0.428,1,28,Phase1
2025-10-25 20:25:54.214,600017_1d_1761395154214,600017,1d,183.230.134.9,7709,西南,success,,16,0.432,1,33,Phase1
2025-10-25 20:25:54.217,600019_1d_1761395154218,600019,1d,58.63.252.136,7709,光大,success,,16,0.434,1,39,Phase1
2025-10-25 20:25:54.221,600018_5m_1761395154221,600018,5m,111.23.148.7,7709,方正,success,,5,0.439,1,37,Phase1
2025-10-25 20:25:54.225,600018_1m_1761395154225,600018,1m,121.33.228.164,7709,中信,success,,800,0.443,1,38,Phase1
2025-10-25 20:25:54.229,600017_1m_1761395154230,600017,1m,45.116.35.251,7709,中信,success,,800,0.447,1,35,Phase1
2025-10-25 20:25:54.234,600017_5m_1761395154234,600017,5m,58.63.254.153,7709,山西,success,,5,0.452,1,34,Phase1
2025-10-25 20:25:54.240,600015_1d_1761395154240,600015,1d,114.28.169.159,7709,东兴,success,,16,0.458,1,27,Phase1
2025-10-25 20:25:54.243,600000_1m_1761395154243,600000,1m,219.143.41.38,7709,东兴,success,,800,0.462,1,1,Phase1
2025-10-25 20:25:54.247,600016_1m_1761395154247,600016,1m,112.93.132.18,7709,国投,success,,800,0.465,1,32,Phase1
2025-10-25 20:25:54.257,600016_5m_1761395154257,600016,5m,182.118.47.184,7709,方正,success,,5,0.475,1,31,Phase1
2025-10-25 20:25:54.262,600011_1d_1761395154262,600011,1d,202.100.166.12,7709,银河,success,,16,0.480,1,21,Phase1
