时间戳,任务ID,品种代码,周期,服务器IP,服务器Port,所属券商/机构,任务状态,错误信息,数据条数,耗时(秒),Worker ID,Connection ID,Phase
2025-10-25 20:38:12.850,301038_1m_1761395892850,301038,1m,123.125.108.9,7709,国信,failed,返回数据为空,0,0.002,3,7,Phase1
2025-10-25 20:38:12.877,301053_1m_1761395892877,301053,1m,123.125.108.9,7709,国信,failed,返回数据为空,0,0.001,3,7,Phase1
2025-10-25 20:38:13.097,301038_5m_1761395893097,301038,5m,103.251.85.60,7709,天风,success,,5,0.249,3,6,Phase1
2025-10-25 20:38:13.106,301039_1d_1761395893106,301039,1d,103.251.85.180,7709,中信建投,success,,16,0.258,3,8,Phase1
2025-10-25 20:38:13.130,301042_5m_1761395893130,301042,5m,114.28.171.123,7709,中泰,success,,5,0.282,3,18,Phase1
2025-10-25 20:38:13.136,301045_1d_1761395893137,301045,1d,103.221.142.67,7709,国泰,success,,16,0.288,3,22,Phase1
2025-10-25 20:38:13.144,301050_1m_1761395893144,301050,1m,109.244.7.166,7709,招商,success,,800,0.296,3,35,Phase1
2025-10-25 20:38:13.180,301041_5m_1761395893180,301041,5m,123.125.108.44,7709,中泰,success,,5,0.332,3,15,Phase1
2025-10-25 20:38:13.184,301039_1m_1761395893184,301039,1m,109.244.35.28,7709,国信,success,,800,0.336,3,10,Phase1
2025-10-25 20:38:13.194,301042_1d_1761395893194,301042,1d,120.136.184.202,7709,东北,success,,16,0.346,3,17,Phase1
2025-10-25 20:38:13.224,301049_1d_1761395893224,301049,1d,139.159.202.253,7709,国泰,success,,16,0.376,3,30,Phase1
2025-10-25 20:38:13.234,301041_1d_1761395893234,301041,1d,123.125.108.107,7709,国联,success,,16,0.386,3,14,Phase1
2025-10-25 20:38:13.251,301036_1m_1761395893251,301036,1m,120.234.56.139,7709,华西,success,,800,0.403,3,1,Phase1
2025-10-25 20:38:13.260,301040_1d_1761395893260,301040,1d,117.139.166.94,7709,华西,success,,16,0.412,3,11,Phase1
2025-10-25 20:38:13.266,301048_5m_1761395893266,301048,5m,114.28.169.159,7709,东兴,success,,5,0.418,3,28,Phase1
2025-10-25 20:38:13.274,301046_5m_1761395893274,301046,5m,125.46.62.164,7709,中原,success,,5,0.426,3,24,Phase1
2025-10-25 20:38:13.284,301041_1m_1761395893284,301041,1m,148.70.110.41,7709,国泰,success,,800,0.436,3,16,Phase1
2025-10-25 20:38:13.292,301050_5m_1761395893292,301050,5m,124.95.141.21,7709,中银,success,,5,0.444,3,34,Phase1
2025-10-25 20:38:13.300,301049_5m_1761395893300,301049,5m,115.238.90.165,7709,杭州电信主站J4,success,,5,0.452,3,31,Phase1
2025-10-25 20:38:13.307,301051_1d_1761395893307,301051,1d,125.46.62.162,7709,中原,success,,16,0.457,3,36,Phase1
2025-10-25 20:38:13.313,301037_1d_1761395893313,301037,1d,120.25.129.112,7709,第一创业,success,,16,0.465,3,3,Phase1
2025-10-25 20:38:13.320,301040_5m_1761395893320,301040,5m,1.71.148.224,7709,山西,success,,5,0.472,3,12,Phase1
2025-10-25 20:38:13.329,301048_1d_1761395893329,301048,1d,119.29.19.242,7709,广发,success,,16,0.481,3,27,Phase1
2025-10-25 20:38:13.341,301047_5m_1761395893341,301047,5m,117.139.166.52,7709,华西,success,,5,0.493,3,26,Phase1
2025-10-25 20:38:13.378,301057_1m_1761395893378,301057,1m,123.125.108.9,7709,国信,failed,返回数据为空,0,0.466,3,7,Phase1
2025-10-25 20:38:13.386,301036_5m_1761395893386,301036,5m,182.131.3.233,7709,华创,success,,5,0.538,3,2,Phase1
2025-10-25 20:38:13.410,301049_1m_1761395893410,301049,1m,123.125.135.42,7709,东北,success,,800,0.562,3,32,Phase1
2025-10-25 20:38:13.426,301037_5m_1761395893426,301037,5m,221.5.148.227,7709,西南,success,,5,0.578,3,4,Phase1
2025-10-25 20:38:13.434,301043_1d_1761395893434,301043,1d,221.236.29.36,7709,长江,success,,16,0.586,3,20,Phase1
2025-10-25 20:38:13.449,301050_1d_1761395893449,301050,1d,221.0.195.48,7709,中信,success,,16,0.601,3,33,Phase1
2025-10-25 20:38:13.459,301042_1m_1761395893459,301042,1m,220.248.233.5,7709,国元,success,,800,0.611,3,19,Phase1
2025-10-25 20:38:13.478,301037_1m_1761395893478,301037,1m,222.90.136.119,7709,西部,success,,800,0.630,3,5,Phase1
2025-10-25 20:38:13.482,301046_1m_1761395893482,301046,1m,103.251.85.92,7709,国泰,success,,800,0.634,3,25,Phase1
2025-10-25 20:38:13.503,301045_5m_1761395893503,301045,5m,202.100.166.117,7709,国泰,success,,5,0.655,3,23,Phase1
2025-10-25 20:38:13.509,301039_5m_1761395893509,301039,5m,58.63.252.107,7709,国元,success,,5,0.661,3,9,Phase1
2025-10-25 20:38:13.519,301040_1m_1761395893519,301040,1m,123.125.108.213,7709,国泰,success,,800,0.671,3,13,Phase1
2025-10-25 20:38:13.527,301043_1m_1761395893527,301043,1m,120.232.150.196,7709,申万宏源,success,,800,0.679,3,21,Phase1
2025-10-25 20:38:13.537,301036_1d_1761395893537,301036,1d,123.125.28.66,7709,东兴,timeout,请求超时0.5s,0,0.689,3,0,Phase1
2025-10-25 20:38:13.563,301048_1m_1761395893563,301048,1m,182.131.3.253,7709,兴业,timeout,请求超时0.5s,0,0.715,3,29,Phase1
2025-10-25 20:38:13.612,301100_1d_1761395893612,301100,1d,109.244.7.166,7709,招商,success,,16,0.377,3,35,Phase1
2025-10-25 20:38:13.620,301097_1d_1761395893620,301097,1d,114.28.171.123,7709,中泰,success,,16,0.385,3,18,Phase1
2025-10-25 20:38:13.639,301092_1d_1761395893639,301092,1d,103.251.85.60,7709,天风,success,,16,0.459,3,6,Phase1
2025-10-25 20:38:13.647,301099_1d_1761395893647,301099,1d,103.221.142.67,7709,国泰,success,,16,0.412,3,22,Phase1
2025-10-25 20:38:13.654,301152_1m_1761395893654,301152,1m,123.125.108.9,7709,国信,failed,返回数据为空,0,0.176,3,7,Phase1
2025-10-25 20:38:13.755,301110_1d_1761395893755,301110,1d,120.136.184.202,7709,东北,success,,16,0.369,3,17,Phase1
2025-10-25 20:38:13.762,301121_1m_1761395893762,301121,1m,114.28.169.159,7709,东兴,success,,800,0.376,3,28,Phase1
2025-10-25 20:38:13.775,301108_1d_1761395893775,301108,1d,109.244.35.28,7709,国信,success,,16,0.389,3,10,Phase1
2025-10-25 20:38:13.780,301126_5m_1761395893780,301126,5m,148.70.110.41,7709,国泰,success,,5,0.370,3,16,Phase1
2025-10-25 20:38:13.786,301112_1m_1761395893787,301112,1m,139.159.202.253,7709,国泰,success,,800,0.400,3,30,Phase1
2025-10-25 20:38:13.795,301095_1m_1761395893795,301095,1m,103.251.85.180,7709,中信建投,success,,800,0.611,3,8,Phase1
2025-10-25 20:38:13.799,301120_5m_1761395893799,301120,5m,117.139.166.94,7709,华西,success,,5,0.413,3,11,Phase1
2025-10-25 20:38:13.812,301131_1d_1761395893812,301131,1d,125.46.62.162,7709,中原,success,,16,0.386,3,36,Phase1
